name, latitude, longitude, altitude, timezone
Cottbus Drewitz,51.889475,14.531986,274,1
Kamenz,51.29625,14.129,495,1
Schonefeld,52.380001,13.5225,157,1
Dresden,51.132767,13.767161,755,1
Erfurt,50.979811,10.958106,1036,1
Frankfurt Main,50.026421,8.543125,364,1
Munster Osnabruck,52.134642,7.684831,160,1
Hamburg,53.630389,9.988228,53,1
Tempelhof,52.473025,13.403944,167,1
Koln Bonn,50.865917,7.142744,302,1
Dusseldorf,51.289453,6.766775,147,1
Franz Josef Strauss,48.353783,11.786086,1487,1
Nurnberg,49.4987,11.066897,1046,1
Leipzig Halle,51.432447,12.241633,465,1
Saarbrucken,49.214553,7.109508,1058,1
Stuttgart,48.689878,9.221964,1276,1
Tegel,52.559686,13.287711,122,1
Hannover,52.461056,9.685078,183,1
Neuenland,53.0475,8.786667,14,1
Egelsbach,49.960833,8.6415,385,1
Frankfurt Hahn,49.948672,7.263892,1649,1
Mannheim City,49.472706,8.514264,309,1
Allendorf Eder,51.034878,8.680839,1164,1
Worms,49.606511,8.3684,295,1
Mainz Finthen,49.968931,8.148336,760,1
Eisenach Kindel,50.992797,10.472711,1101,1
Siegerland,50.707658,8.082969,1966,1
Hamburg Finkenwerder,53.535886,9.837025,22,1
Kiel Holtenau,54.3795,10.145167,101,1
Lubeck Blankensee,53.805367,10.719222,53,1
Dahlemer Binz,50.405888,6.528083,1896,1
Meinerzhagen,51.099445,7.601944,1548,1
Arnsberg Menden,51.483333,7.899333,794,1
Essen Mulheim,51.402333,6.937333,424,1
Bielefeld,51.964833,8.544833,454,1
Monchengladbach,51.230356,6.504494,125,1
Paderborn Lippstadt,51.614089,8.616317,699,1
Stadtlohn Vreden,51.995844,6.840667,157,1
Dortmund,51.518314,7.612242,425,1
Augsburg,48.425158,10.931764,1515,1
Biberach An Der Riss,48.111,9.762833,1903,1
Eggenfelden,48.396167,12.723667,1342,1
Mindelheim Mattsies,48.108833,10.524333,1857,1
Oberpfaffenhofen,48.081364,11.283067,1947,1
Straubing,48.90095,12.518186,1054,1
Vilshofen,48.635167,13.195667,991,1
Leutkirch Unterzeil,47.859117,10.014572,2099,1
Friedrichshafen,47.671317,9.511486,1367,1
Schwerin Parchim,53.426997,11.783436,166,1
Stendal Borstel,52.627778,11.818333,184,1
Aalen Heidenheim Elchingen,48.777833,10.264667,1916,1
Bayreuth,49.984428,11.638569,1601,1
Burg Feuerstein,49.793833,11.133167,1674,1
Hof Plauen,50.288836,11.854919,1960,1
Hassfurt Schweinfurt,50.018,10.5295,718,1
Koblenz Winningen,50.3255,7.528667,640,1
Trier Fohren,49.8635,6.788167,665,1
Speyer,49.302776,8.451195,312,1
Zweibrucken,49.209525,7.400647,1133,1
Donaueschingen Villingen,47.973331,8.522223,2231,1
Freiburg,48.022653,7.832583,799,1
Mengen Hohentengen,48.053833,9.372833,1820,1
Schwabisch Hall,49.118317,9.783956,1311,1
Finsterwalde Schacksdorf,51.6075,13.738,399,1
Braunschweig Wolfsburg,52.319167,10.556111,295,1
Kassel Calden,51.408394,9.377631,908,1
Hildesheim,52.179833,9.945667,293,1
Bremerhaven,53.507081,8.572878,11,1
Emden,53.391186,7.227408,2,1
Leer Papenburg,53.271592,7.442344,3,1
Wilhelmshaven Mariensiel,53.504833,8.053333,16,1
Borkum,53.5955,6.709167,3,1
Norderney,53.706822,7.230247,6,1
Flensburg Schaferhaus,54.771772,9.378214,130,1
Rendsburg Schachtholm,54.220928,9.600803,23,1
Westerland Sylt,54.91325,8.340472,51,1
Amari,59.260286,24.208467,65,2
Kardla,58.990756,22.830733,18,2
Kuressaare,58.229883,22.509494,14,2
Parnu,58.419044,24.472819,47,2
Tallinn,59.413317,24.832844,131,2
Tartu,58.307461,26.690428,219,2
Enontekio,68.362586,23.424322,1005,2
Eura,61.116112,22.201389,259,2
Halli,61.85605,24.7866,479,2
Helsinki Malmi,60.254558,25.042828,57,2
Helsinki Vantaa,60.317222,24.963333,179,2
Hameenkyro,61.689656,23.073744,449,2
Hanko,59.848864,23.083583,20,2
Hyvinkaa,60.654444,24.881111,430,2
Kiikala,60.462502,23.6525,381,2
Immola,61.249172,28.903711,338,3
Kitee,62.166111,30.073611,364,3
Ivalo,68.607269,27.405328,481,2
Joensuu,62.662906,29.60755,398,2
Jyvaskyla,62.399453,25.678253,459,2
Kauhava,63.127078,23.051442,151,2
Kemi Tornio,65.781889,24.5991,61,2
Kajaani,64.285472,27.692414,483,2
Kauhajoki,62.462502,22.393055,407,2
Kruunupyy,63.721172,23.143131,84,2
Kemijarvi,66.712883,27.156786,692,2
Kuusamo,65.987575,29.239381,866,2
