Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,PEK,HRB,Air China (CA),Air China,620,01:44,,,,,738 321 757 767,,,Direct,3364,3400,751
- -,PEK,HRB,Canadian National Airways (CN),Canadian National Airways,620,01:44,,,,,738,,,Direct,3364,3400,9829
- -,PEK,HRB,China Southern Airlines (CZ),China Southern Airlines,620,01:44,,,,,320 319 330,,,Direct,3364,3400,1767
- -,PEK,HRB,Shanghai Airlines (FM),Shanghai Airlines,620,01:44,,,,,738,,,Direct,3364,3400,4609
- -,PEK,HRB,China Eastern Airlines (MU),China Eastern Airlines,620,01:44,,,,,738,,,Codeshare,3364,3400,1758
- -,PEK,HRB,Shenzhen Airlines (ZH),Shenzhen Airlines,620,01:44,,,,,737 320 757 767,,,Codeshare,3364,3400,4611
- -,PEK,HYN,Air China (CA),Air China,841,02:10,,,,,733,,,Direct,3364,6384,751
- -,PEK,HYN,Shenzhen Airlines (ZH),Shenzhen Airlines,841,02:10,,,,,737,,,Codeshare,3364,6384,4611
- -,PEK,IAD,Air China (CA),Air China,6901,14:18,,,,,777,,,Codeshare,3364,3714,751
- -,PEK,IAD,Continental Airlines (CO),Continental Airlines,6901,14:18,,,,,777,,,Codeshare,3364,3714,1881
- -,PEK,IAD,United Airlines (UA),United Airlines,6901,14:18,,,,,777,,,Direct,3364,3714,5209
- -,PEK,IAD,US Airways (US),US Airways,6901,14:18,,,,,777,,,Codeshare,3364,3714,5265
- -,PEK,ICN,Air China (CA),Air China,560,01:37,,,,,330 738,,,Direct,3364,3930,751
- -,PEK,ICN,China Southern Airlines (CZ),China Southern Airlines,560,01:37,,,,,773 772 77W,,,Codeshare,3364,3930,1767
- -,PEK,ICN,Korean Air (KE),Korean Air,560,01:37,,,,,773 772 77W,,,Direct,3364,3930,3163
- -,PEK,ICN,Asiana Airlines (OZ),Asiana Airlines,560,01:37,,,,,321 333 767,,,Direct,3364,3930,28
- -,PEK,IKA,Iran Air (IR),Iran Air,3526,07:33,,,,,74L,,,Direct,3364,4330,2922
- -,PEK,IKT,Hainan Airlines (HU),Hainan Airlines,1020,02:32,,,,,738,,,Direct,3364,2937,2660
- -,PEK,IKT,S7 Airlines (S7),S7 Airlines,1020,02:32,,,,,319,,,Direct,3364,2937,4329
- -,PEK,INC,Air China (CA),Air China,575,01:39,,,,,738,,,Direct,3364,4085,751
- -,PEK,INC,China Southern Airlines (CZ),China Southern Airlines,575,01:39,,,,,321,,,Direct,3364,4085,1767
- -,PEK,INC,Hainan Airlines (HU),Hainan Airlines,575,01:39,,,,,738,,,Direct,3364,4085,2660
- -,PEK,INC,China Eastern Airlines (MU),China Eastern Airlines,575,01:39,,,,,320,,,Direct,3364,4085,1758
- -,PEK,INC,Shandong Airlines (SC),Shandong Airlines,575,01:39,,,,,738,,,Direct,3364,4085,4599
- -,PEK,INC,Shenzhen Airlines (ZH),Shenzhen Airlines,575,01:39,,,,,737,,,Codeshare,3364,4085,4611
- -,PEK,ISB,China Southern Airlines (CZ),China Southern Airlines,2419,05:20,,,,,310,,,Codeshare,3364,2223,1767
- -,PEK,ISB,Pakistan International Airlines (PK),Pakistan International Airlines,2419,05:20,,,,,310,,,Direct,3364,2223,3871
- -,PEK,IST,Air China (CA),Air China,4391,09:16,,,,,77W,,,Codeshare,3364,1701,751
- -,PEK,IST,Turkish Airlines (TK),Turkish Airlines,4391,09:16,,,,,77W,,,Direct,3364,1701,4951
- -,PEK,JDZ,Air China (CA),Air China,742,01:59,,,,,733 738,,,Direct,3364,6380,751
- -,PEK,JFK,Air China (CA),Air China,6817,14:08,,,,,744,,,Direct,3364,3797,751
- -,PEK,JFK,United Airlines (UA),United Airlines,6817,14:08,,,,,744,,,Codeshare,3364,3797,5209
- -,PEK,JFK,US Airways (US),US Airways,6817,14:08,,,,,744,,,Codeshare,3364,3797,5265
- -,PEK,JGS,Air China (CA),Air China,916,02:19,,,,,738,,,Direct,3364,6428,751
- -,PEK,JIU,Hainan Airlines (HU),Hainan Airlines,715,01:55,,,,,734,,,Direct,3364,6381,2660
- -,PEK,JJN,Air China (CA),Air China,1061,02:37,,,,,733,,,Direct,3364,6386,751
- -,PEK,JJN,China Southern Airlines (CZ),China Southern Airlines,1061,02:37,,,,,737,,,Codeshare,3364,6386,1767
- -,PEK,JJN,Xiamen Airlines (MF),Xiamen Airlines,1061,02:37,,,,,737,,,Direct,3364,6386,5484
- -,PEK,JJN,Shenzhen Airlines (ZH),Shenzhen Airlines,1061,02:37,,,,,737,,,Codeshare,3364,6386,4611
- -,PEK,JMU,Air China (CA),Air China,836,02:10,,,,,733,,,Direct,3364,6411,751
- -,PEK,JMU,Hainan Airlines (HU),Hainan Airlines,836,02:10,,,,,734,,,Direct,3364,6411,2660
- -,PEK,JMU,Hankook Air (HX),Hankook Air,836,02:10,,,,,734,,,Codeshare,3364,6411,16706
- -,PEK,JMU,Hong Kong Express Airways (UO),Hong Kong Express Airways,836,02:10,,,,,734,,,Codeshare,3364,6411,2774
- -,PEK,JNG,Shanghai Airlines (FM),Shanghai Airlines,322,01:08,,,,,737,,,Direct,3364,6944,4609
- -,PEK,JNG,China Eastern Airlines (MU),China Eastern Airlines,322,01:08,,,,,737,,,Codeshare,3364,6944,1758
